generation,ms
49,"[[3, 5, 20, 22, 15, 24, 25, 1, 11, 4, 18, 2, 13, 9, 23, 8, 14, 10, 17, 16, 12, 19, 21, 6, 7], [3, 25, 4, 1, 1, 25, 3, 25, 1, 1, 25, 25, 25, 25, 2, 1, 25, 25, 25, 1, 1, 25, 25, 25, 3]]"
55,"[[22, 15, 8, 13, 7, 2, 20, 1, 17, 25, 16, 3, 12, 10, 24, 14, 18, 23, 6, 4, 11, 9, 21, 19, 5], [1, 1, 25, 1, 2, 1, 2, 25, 2, 2, 5, 2, 25, 1, 25, 25, 1, 4, 25, 1, 25, 2, 25, 1, 25]]"
67,"[[12, 20, 2, 21, 10, 3, 14, 25, 22, 1, 19, 17, 9, 4, 16, 13, 6, 24, 7, 15, 18, 8, 5, 11, 23], [25, 3, 25, 4, 1, 1, 2, 1, 1, 1, 1, 3, 6, 25, 5, 2, 1, 2, 25, 1, 1, 25, 2, 1, 25]]"
40,"[[4, 9, 25, 24, 3, 17, 20, 5, 8, 15, 7, 11, 12, 14, 21, 18, 23, 1, 13, 10, 19, 2, 22, 6, 16], [25, 25, 25, 2, 2, 1, 25, 25, 1, 25, 25, 25, 9, 2, 25, 25, 25, 1, 3, 2, 1, 1, 25, 2, 25]]"
100,"[[8, 5, 13, 16, 23, 11, 24, 4, 14, 12, 15, 18, 6, 7, 19, 10, 1, 20, 25, 9, 21, 17, 22, 3, 2], [25, 2, 25, 3, 1, 25, 1, 1, 3, 1, 25, 25, 1, 1, 1, 2, 2, 3, 1, 1, 25, 1, 3, 25, 2]]"
87,"[[18, 14, 6, 15, 12, 10, 5, 24, 1, 25, 9, 7, 19, 8, 22, 11, 16, 13, 21, 4, 17, 23, 3, 20, 2], [1, 2, 5, 1, 1, 3, 1, 1, 2, 25, 25, 7, 25, 25, 25, 1, 25, 1, 25, 4, 4, 3, 25, 2, 2]]"
94,"[[6, 11, 10, 16, 22, 5, 18, 24, 14, 4, 23, 25, 9, 7, 1, 19, 8, 2, 15, 21, 12, 3, 20, 13, 17], [2, 25, 25, 3, 2, 2, 25, 25, 25, 3, 25, 25, 25, 25, 1, 2, 2, 1, 25, 1, 2, 2, 25, 25, 3]]"
35,"[[4, 12, 20, 10, 19, 24, 17, 2, 21, 1, 22, 14, 11, 13, 5, 7, 6, 9, 18, 25, 8, 16, 23, 3, 15], [25, 25, 4, 25, 25, 25, 25, 25, 25, 25, 1, 2, 25, 1, 25, 25, 6, 25, 1, 1, 1, 3, 25, 25, 3]]"
25,"[[22, 6, 3, 11, 23, 4, 16, 25, 13, 7, 19, 8, 12, 17, 9, 18, 15, 1, 10, 21, 2, 20, 24, 14, 5], [25, 25, 25, 25, 2, 2, 3, 25, 25, 2, 2, 25, 25, 25, 25, 25, 1, 25, 1, 25, 25, 25, 2, 25, 25]]"
78,"[[14, 19, 7, 12, 13, 1, 17, 20, 16, 11, 10, 22, 8, 23, 2, 15, 3, 24, 5, 18, 25, 4, 6, 9, 21], [1, 2, 25, 25, 25, 2, 2, 2, 4, 2, 2, 2, 25, 25, 1, 2, 25, 1, 25, 25, 1, 1, 25, 1, 2]]"
